movie_id,title,language,budget,revenue,release_date,year,release_month,runtime,popularity,tmdb_vote_count,rating_count,analysis_vote_count,avg_rating,roi,genres,primary_genre
35,The Simpsons Movie,en,75000000,527068851,2007-07-25,2007,7,87,14.3029,2335,37,2335,6.68,7.0276,Animation|Comedy|Family,Animation
38,Eternal Sunshine of the Spotless Mind,en,20000000,72258126,2004-03-19,2004,3,108,12.9063,3758,106,3758,8.25,3.6129,Drama|Romance|Science Fiction,Drama
55,Amores perros,es,2000000,20908467,2000-06-16,2000,6,154,5.9581,537,30,537,8.37,10.4542,Drama|Thriller,Drama
58,Pirates of the Caribbean: Dead Man's Chest,en,200000000,1065659812,2006-06-20,2006,6,151,29.4553,5380,59,5380,6.83,5.3283,Action|Adventure|Fantasy,Action
59,A History of Violence,en,32000000,60740827,2005-09-23,2005,9,96,11.1197,850,20,850,7.25,1.8982,Crime|Drama|Thriller,Crime
62,2001: A Space Odyssey,en,10500000,68700000,1968-04-10,1968,4,149,22.4946,3075,123,3075,7.77,6.5429,Adventure|Mystery|Science Fiction,Adventure
63,Twelve Monkeys,en,29500000,168840000,1995-12-29,1995,12,129,12.2973,2470,196,2470,7.85,5.7234,Mystery|Science Fiction|Thriller,Mystery
64,Hable con ella,es,9285469,51001550,2002-03-14,2002,3,112,6.6483,273,16,273,7.81,5.4926,Drama|Romance,Drama
65,8 Mile,en,41000000,215000000,2002-11-08,2002,11,110,8.3744,1676,24,1676,6.5,5.2439,Drama,Drama
66,Absolute Power,en,50000000,50068310,1997-02-14,1997,2,121,7.6612,226,20,226,6.1,1.0014,Crime|Drama|Thriller,Crime
67,Paradise Now,en,0,3357075,2005-02-14,2005,2,90,3.7142,63,3,63,9.33,,Crime|Drama|Thriller,Crime
68,Brazil,en,15000000,0,1985-02-20,1985,2,132,9.8373,877,62,877,8.06,,Comedy|Science Fiction,Comedy
69,Walk the Line,en,28000000,186438883,2005-09-13,2005,9,136,11.4764,732,42,732,7.76,6.6585,Drama|Music|Romance,Drama
70,Million Dollar Baby,en,30000000,216763646,2004-12-15,2004,12,132,14.4714,2519,65,2519,7.4,7.2255,Drama,Drama
71,Billy Elliot,en,5000000,110000000,2000-05-18,2000,5,110,12.1584,774,43,774,7.42,22.0,Comedy|Drama|Music,Comedy
73,American History X,en,20000000,23875127,1998-10-30,1998,10,119,18.1572,3120,107,3120,8.05,1.1938,Drama,Drama
74,War of the Worlds,en,132000000,591739379,2005-06-28,2005,6,116,19.9294,2397,40,2397,5.7,4.4829,Adventure|Science Fiction|Thriller,Adventure
75,Mars Attacks!,en,70000000,101371017,1996-12-12,1996,12,106,15.6342,1544,80,1544,5.99,1.4482,Comedy|Fantasy|Science Fiction,Comedy
76,Before Sunrise,en,2500000,5535405,1995-01-27,1995,1,105,11.305,984,18,984,7.44,2.2142,Drama|Romance,Drama
77,Memento,en,9000000,39723096,2000-10-11,2000,10,113,15.4508,4168,132,4168,8.45,4.4137,Mystery|Thriller,Mystery
78,Blade Runner,en,28000000,33139618,1982-06-25,1982,6,117,96.2724,3833,146,3833,8.08,1.1836,Drama|Science Fiction|Thriller,Drama
79,英雄,zh,31000000,177394432,2002-12-19,2002,12,99,9.8618,647,33,647,7.73,5.7224,Action|Adventure|Drama|History,Action
80,Before Sunset,en,2700000,15992615,2004-02-10,2004,2,80,7.049,734,17,734,7.76,5.9232,Drama|Romance,Drama
81,風の谷のナウシカ,ja,1000000,3301446,1984-03-11,1984,3,117,11.2674,808,20,808,8.2,3.3014,Adventure|Animation|Fantasy,Adventure
82,Miami Vice,en,135000000,163794509,2006-07-27,2006,7,134,11.7255,494,5,494,5.4,1.2133,Action|Adventure|Crime|Thriller,Action
83,Open Water,en,130000,54667954,2004-08-06,2004,8,79,10.6528,320,5,320,6.2,420.5227,Drama|Thriller,Drama
85,Raiders of the Lost Ark,en,18000000,389925971,1981-06-12,1981,6,115,19.9016,3949,220,3949,8.39,21.6626,Action|Adventure,Action
86,Elementarteilchen,de,6000000,0,2006-02-10,2006,2,105,11.5525,34,1,34,2.0,,Drama|Romance,Drama
87,Indiana Jones and the Temple of Doom,en,28000000,333000000,1984-05-23,1984,5,118,15.8023,2841,98,2841,7.53,11.8929,Action|Adventure,Action
88,Dirty Dancing,en,6000000,213954274,1987-08-21,1987,8,100,14.0441,1371,53,1371,6.72,35.659,Drama|Music|Romance,Drama
89,Indiana Jones and the Last Crusade,en,48000000,474171806,1989-05-24,1989,5,127,14.789,3221,147,3221,8.03,9.8786,Action|Adventure,Action
90,Beverly Hills Cop,en,15000000,316360478,1984-11-29,1984,11,105,8.5035,985,51,985,7.35,21.0907,Action|Comedy|Crime,Action
91,Las Hurdes,es,20000,0,1933-12-01,1933,12,29,2.476,21,0,21,,,Documentary,Documentary
92,Megacities,en,0,0,1998-08-12,1998,8,94,0.4061,3,0,3,,,Documentary,Documentary
93,Anatomy of a Murder,en,0,0,1959-07-01,1959,7,160,9.4738,207,15,207,7.27,,Crime|Drama|Mystery|Thriller,Crime
95,Armageddon,en,140000000,553799566,1998-07-01,1998,7,151,13.2351,2540,113,2540,6.09,3.9557,Action|Adventure|Science Fiction|Thriller,Action
96,Beverly Hills Cop II,en,20000000,299965036,1987-05-18,1987,5,100,9.2003,627,14,627,5.93,14.9983,Action|Comedy|Crime,Action
97,Tron,en,17000000,33000000,1982-07-09,1982,7,96,16.574,717,47,717,6.96,1.9412,Action|Adventure|Science Fiction,Action
98,Gladiator,en,103000000,457640427,2000-05-01,2000,5,155,23.1867,5566,161,5566,7.93,4.4431,Action|Adventure|Drama,Action
99,Todo sobre mi madre,es,8272296,67872296,1999-04-19,1999,4,101,10.0009,337,20,337,8.4,8.2048,Comedy|Drama,Comedy
100,"Lock, Stock and Two Smoking Barrels",en,1350000,3897569,1998-03-05,1998,3,105,4.6079,1671,74,1671,8.26,2.8871,Comedy|Crime,Comedy
101,Léon,fr,16000000,45284974,1994-09-14,1994,9,110,20.4773,4293,132,4293,8.14,2.8303,Crime|Drama|Thriller,Crime
102,Elsker dig for evigt,da,0,0,2002-09-06,2002,9,113,6.8185,27,0,27,,,Drama|Romance,Drama
103,Taxi Driver,en,1300000,28262574,1976-02-07,1976,2,114,14.0927,2632,118,2632,8.45,21.7404,Crime|Drama,Crime
104,Lola rennt,de,1530000,7267585,1998-08-20,1998,8,81,7.7654,672,80,672,8.4,4.7501,Action|Drama|Thriller,Action
105,Back to the Future,en,19000000,381109762,1985-07-03,1985,7,116,25.7785,6239,226,6239,8.03,20.0584,Adventure|Comedy|Family|Science Fiction,Adventure
106,Predator,en,18000000,98235548,1987-06-11,1987,6,107,18.4957,2129,53,2129,7.13,5.4575,Action|Adventure|Science Fiction|Thriller,Action
107,Snatch,en,10000000,83557872,2000-09-01,2000,9,103,14.014,2953,95,2953,8.07,8.3558,Crime|Thriller,Crime
108,Trois couleurs : Bleu,fr,0,0,1993-01-10,1993,1,98,8.8435,311,31,311,8.29,,Drama|Music|Mystery,Drama
109,Trois couleurs : Blanc,fr,0,0,1994-01-26,1994,1,91,6.5898,218,22,218,8.32,,Comedy|Drama|Mystery,Comedy
110,Trois couleurs : Rouge,fr,0,0,1994-05-27,1994,5,99,7.8328,246,32,246,8.34,,Drama|Mystery|Romance,Drama
111,Scarface,en,25000000,65884703,1983-12-08,1983,12,170,11.2997,3017,49,3017,7.41,2.6354,Action|Crime|Drama|Thriller,Action
112,Italiensk for begyndere,da,0,0,2000-12-07,2000,12,112,5.3965,33,2,33,6.5,,Comedy|Drama|Romance,Comedy
113,봄 여름 가을 겨울 그리고 봄,ko,0,6502364,2003-09-19,2003,9,103,8.1579,240,6,240,7.17,,Drama,Drama
114,Pretty Woman,en,14000000,463000000,1990-03-23,1990,3,119,13.3485,1807,147,1807,6.72,33.0714,Comedy|Romance,Comedy
115,The Big Lebowski,en,15000000,46189568,1998-03-06,1998,3,117,15.9525,3001,120,3001,7.99,3.0793,Comedy|Crime,Comedy
116,Match Point,en,15000000,85306374,2005-10-26,2005,10,124,9.0204,1134,16,1134,7.0,5.6871,Crime|Drama|Romance|Thriller,Crime
117,The Untouchables,en,25000000,76270454,1987-06-02,1987,6,119,11.0622,1424,78,1424,7.82,3.0508,Crime|Drama|History|Thriller,Crime
118,Charlie and the Chocolate Factory,en,150000000,474968763,2005-07-13,2005,7,115,22.0384,3759,47,3759,6.36,3.1665,Adventure|Comedy|Family|Fantasy,Adventure
120,The Lord of the Rings: The Fellowship of the Ring,en,93000000,871368364,2001-12-18,2001,12,178,32.0707,8892,200,8892,8.37,9.3696,Action|Adventure|Fantasy,Action
121,The Lord of the Rings: The Two Towers,en,79000000,926287400,2002-12-18,2002,12,179,29.4235,7641,188,7641,8.12,11.7252,Action|Adventure|Fantasy,Action
122,The Lord of the Rings: The Return of the King,en,94000000,1118888979,2003-12-01,2003,12,201,29.3244,8226,176,8226,8.26,11.9031,Action|Adventure|Fantasy,Action
123,The Lord of the Rings,en,4000000,30471420,1978-11-15,1978,11,132,7.9148,187,19,187,6.84,7.6179,Adventure|Animation|Drama|Fantasy,Adventure
124,Bez Konca,pl,0,0,1985-06-17,1985,6,109,3.2567,5,0,5,,,Drama|Fantasy,Drama
127,Przypadek,pl,0,0,1987-01-10,1987,1,123,3.2082,29,0,29,,,Drama,Drama
128,もののけ姫,ja,26500000,159375308,1997-07-12,1997,7,134,17.1667,2041,38,2041,8.26,6.0142,Adventure|Animation|Fantasy,Adventure
129,千と千尋の神隠し,ja,15000000,274925095,2001-07-20,2001,7,125,41.0489,3968,63,3968,8.27,18.3283,Adventure|Animation|Family|Fantasy,Adventure
132,The Rolling Stones: Gimme Shelter,en,0,0,1970-12-06,1970,12,91,2.336,42,3,42,7.67,,Documentary|Music,Documentary
133,Primary,en,0,0,1960-01-01,1960,1,60,0.3806,6,0,6,,,Documentary,Documentary
134,"O Brother, Where Art Thou?",en,26000000,71868327,2000-08-30,2000,8,106,12.4342,1144,96,1144,7.75,2.7642,Action|Adventure|Comedy,Action
135,Dont Look Back,en,0,0,1967-05-17,1967,5,96,2.6762,35,1,35,8.0,,Documentary|Music,Documentary
136,Freaks,en,0,0,1932-02-20,1932,2,64,9.0743,228,9,228,6.78,,Drama|Horror,Drama
137,Groundhog Day,en,14600000,70906973,1993-02-11,1993,2,101,12.9896,2358,165,2358,7.68,4.8566,Comedy|Drama|Fantasy|Romance,Comedy
138,Dracula,en,355000,1012189,1931-02-12,1931,2,72,7.5031,254,9,254,8.22,2.8512,Horror,Horror
139,Mifunes sidste sang,da,0,0,1999-03-12,1999,3,98,2.5393,16,2,16,9.0,,Comedy|Drama|Romance,Comedy
140,La mala educación,es,5000000,40266982,2004-03-19,2004,3,106,7.6641,223,8,223,7.88,8.0534,Crime|Drama|Romance|Thriller,Crime
141,Donnie Darko,en,6000000,1270522,2001-01-18,2001,1,113,18.3031,3574,93,3574,8.05,0.2118,Drama|Fantasy|Mystery,Drama
142,Brokeback Mountain,en,14000000,178043761,2005-09-02,2005,9,134,11.787,1531,29,1531,7.24,12.7174,Drama|Romance,Drama
143,All Quiet on the Western Front,en,1250000,0,1930-04-29,1930,4,133,15.2351,166,14,166,8.57,,Drama|War,Drama
144,Der Himmel über Berlin,de,2500000,3200000,1987-01-01,1987,1,128,6.3573,256,19,256,8.42,1.28,Drama|Fantasy|Romance,Drama
145,Breaking the Waves,da,0,3803298,1996-05-13,1996,5,159,8.5587,213,20,213,7.95,,Drama|Romance,Drama
146,卧虎藏龙,zh,17000000,213525736,2000-10-01,2000,10,120,19.945,949,114,949,7.71,12.5603,Action|Adventure|Drama|Romance,Action
147,Les Quatre Cents Coups,fr,0,0,1959-05-04,1959,5,99,7.2687,363,14,363,7.79,,Drama,Drama
148,The Secret Life of Words,en,5000000,0,2005-12-15,2005,12,112,12.7756,52,2,52,8.0,,Drama|Romance,Drama
149,アキラ,ja,8000000,553171,1988-07-16,1988,7,124,10.8889,792,34,792,7.68,0.0691,Animation|Science Fiction,Animation
150,48 Hrs.,en,12000000,78868508,1982-12-07,1982,12,96,15.2971,364,16,364,6.94,6.5724,Action|Comedy|Crime|Drama|Thriller,Action
152,Star Trek: The Motion Picture,en,35000000,139000000,1979-12-06,1979,12,132,8.2778,541,47,541,6.11,3.9714,Adventure|Mystery|Science Fiction,Adventure
153,Lost in Translation,en,4000000,119723856,2003-08-31,2003,8,102,11.6094,1943,85,1943,7.64,29.931,Drama,Drama
154,Star Trek II: The Wrath of Khan,en,12000000,96800000,1982-06-03,1982,6,113,7.1602,688,72,688,7.5,8.0667,Action|Adventure|Science Fiction|Thriller,Action
155,The Dark Knight,en,185000000,1004558444,2008-07-16,2008,7,152,123.1673,12269,121,12269,8.47,5.43,Action|Crime|Drama|Thriller,Action
156,Wilbur begår selvmord,da,0,0,2002-11-08,2002,11,111,2.6514,25,1,25,8.0,,Comedy|Drama|Romance,Comedy
157,Star Trek III: The Search for Spock,en,18000000,87000000,1984-05-31,1984,5,105,6.1973,443,54,443,6.63,4.8333,Action|Adventure|Science Fiction|Thriller,Action
158,Knockin' on Heaven's Door,de,0,0,1997-02-20,1997,2,87,7.2033,135,1,135,10.0,,Comedy|Crime,Comedy
159,Der bewegte Mann,de,0,0,1994-10-05,1994,10,90,8.5933,34,0,34,,,Comedy|Drama,Comedy
160,L'arrivée d'un train en gare de La Ciotat,es,0,0,1896-01-25,1896,1,1,5.2566,87,0,87,,,Documentary,Documentary
161,Ocean's Eleven,en,85000000,450717150,2001-12-07,2001,12,116,12.1149,3857,130,3857,7.76,5.3026,Crime|Thriller,Crime
162,Edward Scissorhands,en,20000000,53000000,1990-12-05,1990,12,105,17.6122,3731,89,3731,7.7,2.65,Drama|Fantasy|Romance,Drama
163,Ocean's Twelve,en,110000000,362744280,2004-12-09,2004,12,125,11.8693,2169,34,2169,5.82,3.2977,Crime|Thriller,Crime
164,Breakfast at Tiffany's,en,2500000,9500000,1961-10-05,1961,10,110,10.8793,1082,44,1082,7.18,3.8,Comedy|Drama|Romance,Comedy
165,Back to the Future Part II,en,40000000,332000000,1989-11-20,1989,11,108,13.6899,3926,99,3926,6.96,8.3,Adventure|Comedy|Family|Science Fiction,Adventure
166,La Boum,fr,0,0,1980-01-01,1980,1,110,12.1057,225,0,225,,,Comedy|Drama|Romance,Comedy
167,K-PAX,en,48000000,50315140,2001-10-22,2001,10,120,12.4002,710,24,710,6.42,1.0482,Drama|Science Fiction,Drama
168,Star Trek IV: The Voyage Home,en,24000000,133000000,1986-11-25,1986,11,119,12.597,490,65,490,7.0,5.5417,Adventure|Science Fiction,Adventure
169,Predator 2,en,35000000,57120318,1990-11-20,1990,11,108,11.7362,743,19,743,5.74,1.632,Action|Science Fiction|Thriller,Action
170,28 Days Later,en,5000000,82719885,2002-10-31,2002,10,113,17.657,1816,52,1816,7.62,16.544,Horror|Science Fiction|Thriller,Horror
171,La Boum 2,fr,0,0,1982-12-08,1982,12,109,4.9648,134,0,134,,,Comedy,Comedy
172,Star Trek V: The Final Frontier,en,30000000,70200000,1989-06-09,1989,6,107,12.308,384,25,384,5.56,2.34,Action|Adventure|Science Fiction|Thriller,Action
173,"20,000 Leagues Under the Sea",en,5000000,28200000,1954-12-23,1954,12,127,8.7224,160,37,160,7.32,5.64,Adventure|Drama|Science Fiction,Adventure
174,Star Trek VI: The Undiscovered Country,en,27000000,96900000,1991-12-05,1991,12,113,5.9006,421,47,421,6.53,3.5889,Action|Adventure|Science Fiction|Thriller,Action
175,Le Grand Bleu,fr,0,0,1988-05-11,1988,5,168,13.5038,364,5,364,5.8,,Adventure|Drama|Romance,Adventure
176,Saw,en,1200000,103911669,2004-10-01,2004,10,103,23.5084,2255,33,2255,6.55,86.5931,Crime|Horror|Mystery,Crime
177,The Fisher King,en,24000000,41895491,1991-09-09,1991,9,137,11.1844,346,37,346,7.27,1.7456,Comedy|Drama,Comedy
178,Blown Away,en,0,30156002,1994-07-01,1994,7,121,13.1551,126,14,126,6.79,,Action|Drama|Thriller,Action
179,The Interpreter,en,80000000,162944923,2005-04-08,2005,4,128,12.0477,400,14,400,6.21,2.0368,Crime|Thriller,Crime
180,Minority Report,en,102000000,358372926,2002-06-20,2002,6,145,20.6661,2663,115,2663,7.37,3.5135,Action|Mystery|Science Fiction|Thriller,Action
182,The Good German,en,32000000,5914908,2006-12-08,2006,12,108,5.2908,87,1,87,6.0,0.1848,Crime|Drama|Mystery|Romance|Thriller|War,Crime
183,The Wizard,en,6000000,14278900,1989-12-15,1989,12,100,5.764,83,0,83,,2.3798,Adventure|Comedy|Drama|Family|Romance,Adventure
184,Jackie Brown,en,12000000,39673162,1997-12-24,1997,12,154,16.4155,1580,57,1580,7.39,3.3061,Comedy|Crime|Romance,Comedy
185,A Clockwork Orange,en,2200000,26589000,1971-12-18,1971,12,136,17.1126,3432,121,3432,8.0,12.0859,Drama|Science Fiction,Drama
186,Lucky Number Slevin,en,27000000,56308881,2006-02-24,2006,2,110,11.1509,1356,25,1356,7.68,2.0855,Crime|Drama|Mystery|Thriller,Crime
187,Sin City,en,40000000,158733820,2005-04-01,2005,4,124,15.0105,2755,80,2755,7.9,3.9683,Action|Crime|Thriller,Action
189,Sin City: A Dame to Kill For,en,65000000,39407616,2014-08-20,2014,8,102,20.6236,1314,1,1314,6.0,0.6063,Crime|Thriller,Crime
192,The Name of the Rose,en,20000000,77200000,1986-09-24,1986,9,130,11.4698,739,23,739,8.48,3.86,Drama|Mystery|Thriller,Drama
193,Star Trek: Generations,en,38000000,120000000,1994-11-17,1994,11,118,8.1057,461,114,461,6.7,3.1579,Action|Adventure|Science Fiction|Thriller,Action
194,Le fabuleux destin d'Amélie Poulain,fr,10000000,173921954,2001-04-25,2001,4,122,12.8794,3403,125,3403,8.19,17.3922,Comedy|Romance,Comedy
195,Trouble in Paradise,en,0,0,1932-10-21,1932,10,83,3.3514,48,3,48,9.33,,Comedy|Romance,Comedy
196,Back to the Future Part III,en,40000000,244527583,1990-05-25,1990,5,118,13.044,2978,94,2978,6.53,6.1132,Adventure|Comedy|Family|Science Fiction,Adventure
197,Braveheart,en,72000000,210000000,1995-05-24,1995,5,177,20.7551,3404,228,3404,7.89,2.9167,Action|Drama|History|War,Action
198,To Be or Not to Be,en,0,0,1942-03-05,1942,3,99,7.2749,119,10,119,8.6,,Comedy|War,Comedy
199,Star Trek: First Contact,en,46000000,150000000,1996-11-21,1996,11,111,8.8085,671,82,671,7.76,3.2609,Action|Adventure|Science Fiction|Thriller,Action
200,Star Trek: Insurrection,en,70000000,118000000,1998-12-10,1998,12,103,9.5389,402,17,402,6.94,1.6857,Action|Adventure|Science Fiction|Thriller,Action
201,Star Trek: Nemesis,en,60000000,67312826,2002-12-13,2002,12,117,11.3678,488,10,488,5.9,1.1219,Action|Adventure|Science Fiction|Thriller,Action
203,Mean Streets,en,500000,3000000,1973-10-02,1973,10,110,8.2124,359,7,359,7.86,6.0,Crime|Drama,Crime
204,Le salaire de la peur,fr,0,0,1953-04-22,1953,4,147,7.6438,176,2,176,9.5,,Adventure|Drama|Thriller,Adventure
205,Hotel Rwanda,en,17500000,38000000,2004-09-11,2004,9,121,10.2623,805,32,805,7.97,2.1714,Drama|History|War,Drama
206,Paradise Found,en,0,0,2003-01-01,2003,1,89,1.6232,6,0,6,,,Drama,Drama
207,Dead Poets Society,en,16400000,235860116,1989-06-02,1989,6,129,19.9057,2786,95,2786,7.57,14.3817,Drama,Drama
211,Berlin is in Germany,de,0,0,2001-11-01,2001,11,90,0.2227,3,0,3,,,Comedy|Drama,Comedy
212,Arsenic and Old Lace,en,1120175,0,1944-09-23,1944,9,118,13.9901,234,37,234,7.89,,Comedy|Crime,Comedy
213,North by Northwest,en,4000000,13275000,1959-07-07,1959,7,136,12.4104,1062,87,1062,8.54,3.3188,Mystery|Thriller,Mystery
214,Saw III,en,10000000,163876815,2006-10-27,2006,10,108,14.938,1104,7,1104,5.71,16.3877,Crime|Horror|Thriller,Crime
215,Saw II,en,4000000,152925093,2005-10-28,2005,10,92,15.3999,1288,18,1288,6.5,38.2313,Horror,Horror
216,Angst essen Seele auf,de,130000,0,1974-03-05,1974,3,93,5.8553,74,1,74,8.0,,Drama|Romance,Drama
217,Indiana Jones and the Kingdom of the Crystal Skull,en,185000000,786636033,2008-05-21,2008,5,122,12.5773,2558,24,2558,5.12,4.2521,Action|Adventure,Action
218,The Terminator,en,6400000,78371200,1984-10-26,1984,10,108,19.2936,4208,158,4208,7.92,12.2455,Action|Science Fiction|Thriller,Action
219,Volver,es,12899867,85582407,2006-03-16,2006,3,121,6.3029,419,10,419,6.9,6.6344,Comedy|Drama|Romance,Comedy
220,East of Eden,en,1,5,1955-03-09,1955,3,115,6.4288,163,16,163,7.19,5.0,Drama,Drama
221,Rebel Without a Cause,en,1500000,0,1955-10-27,1955,10,111,10.9682,351,40,351,7.88,,Drama,Drama
222,Berlin: Die Sinfonie der Grosstadt,de,0,0,1927-09-23,1927,9,69,0.6927,11,1,11,8.0,,Documentary|History,Documentary
223,Rebecca,en,1288000,6000000,1940-04-12,1940,4,130,8.5908,346,23,346,8.35,4.6584,Drama|Mystery,Drama
224,Człowiek z marmuru,pl,0,0,1977-02-25,1977,2,165,2.7834,16,0,16,,,Drama|History,Drama
225,Czlowiek z zelaza,pl,0,0,1981-07-27,1981,7,147,0.8862,15,0,15,,,Drama|History,Drama
226,Boys Don't Cry,en,2000000,11540607,1999-09-02,1999,9,118,6.536,360,44,360,7.8,5.7703,Crime|Drama,Crime
227,The Outsiders,en,10000000,33697647,1983-03-25,1983,3,91,6.4359,293,23,293,7.3,3.3698,Crime|Drama,Crime
228,Der blaue Engel,de,0,0,1930-03-31,1930,3,108,2.4061,52,9,52,7.44,,Drama,Drama
229,Bride of Frankenstein,en,393750,0,1935-04-21,1935,4,75,7.0004,208,8,208,7.5,,Horror|Science Fiction,Horror
231,Syriana,en,50000000,94000000,2005-11-23,2005,11,128,5.7686,455,16,455,7.38,1.88,Drama|Thriller,Drama
232,Rumble Fish,en,10000000,2494480,1983-10-20,1983,10,94,8.2052,141,1,141,1.0,0.2494,Action|Adventure|Crime|Drama|Romance,Action
233,The Wanderers,en,0,23000000,1979-07-13,1979,7,117,3.3864,55,1,55,5.0,,Drama,Drama
234,Das Cabinet des Dr. Caligari,de,18000,0,1920-02-25,1920,2,78,7.1913,279,13,279,8.0,,Crime|Drama|Horror|Thriller,Crime
235,Stand by Me,en,8000000,52287414,1986-08-22,1986,8,89,15.207,1568,112,1568,8.19,6.5359,Crime|Drama,Crime
236,Muriel's Wedding,en,3000000,15119639,1994-09-29,1994,9,106,5.2548,104,56,104,6.88,5.0399,Comedy|Drama|Romance,Comedy
237,Young Adam,en,6400000,2500000,2003-09-26,2003,9,93,5.2354,46,0,46,,0.3906,Crime|Drama|Romance|Thriller,Crime
238,The Godfather,en,6000000,245066411,1972-03-14,1972,3,175,41.1093,6024,200,6024,8.97,40.8444,Crime|Drama,Crime
239,Some Like It Hot,en,2883848,25000000,1959-03-18,1959,3,122,11.8451,835,66,835,7.89,8.669,Comedy|Romance,Comedy
240,The Godfather: Part II,en,13000000,47542841,1974-12-20,1974,12,200,36.6293,3418,135,3418,8.77,3.6571,Crime|Drama,Crime
241,Natural Born Killers,en,34000000,50282766,1994-08-25,1994,8,119,11.2269,927,107,927,6.67,1.4789,Crime|Drama|Thriller,Crime
242,The Godfather: Part III,en,54000000,136766062,1990-12-24,1990,12,162,17.1853,1589,35,1589,6.8,2.5327,Crime|Drama|Thriller,Crime
243,High Fidelity,en,30000000,47126295,2000-03-17,2000,3,113,8.525,636,88,636,7.92,1.5709,Comedy|Drama|Music|Romance,Comedy
244,King Kong,en,672000,10000000,1933-04-07,1933,4,100,8.7327,346,23,346,7.87,14.881,Action|Adventure|Drama|Horror,Action
245,About a Boy,en,27000000,129000000,2002-04-26,2002,4,101,10.9567,627,52,627,7.29,4.7778,Comedy|Drama|Romance,Comedy
246,座頭市,ja,0,0,2003-09-06,2003,9,111,6.4283,236,7,236,7.86,,Action|Adventure|Drama,Action
247,The Killing,en,320000,0,1956-05-08,1956,5,85,10.2233,290,11,290,8.18,,Action|Crime|Drama|Thriller,Action
248,Pocketful of Miracles,en,2900000,5000000,1961-12-18,1961,12,136,2.6496,25,1,25,6.0,1.7241,Comedy|Drama,Comedy
249,The War of the Roses,en,0,0,1989-12-08,1989,12,116,5.9638,288,9,288,7.22,,Comedy|Drama|Thriller,Comedy
250,I Kina spiser de hunde,da,0,0,1999-09-10,1999,9,91,5.0626,81,2,81,5.5,,Action|Comedy|Crime,Action
